Year_Month,Total_of_Ratings,m_i
2011-12,4.321052631578947,380
2011-7,4.023668639053255,169
2012-10,4.365155131264917,419
2012-3,4.351351351351352,370
2014-2,4.253968253968254,252
2015-5,4.26401179941003,678
2015-6,4.210982658959537,692
2015-7,4.187088274044796,759
2016-11,4.401847575057737,433
2016-2,4.12590799031477,413
2016-8,4.2095400340715505,587
2017-11,4.2594936708860756,316
2017-4,4.190127970749543,547
2018-12,4.0344827586206895,319
2018-8,4.037593984962406,399
